,year,state,state_abbr,county,commodity,AREA HARVESTED,AREA PLANTED,PRODUCTION,YIELD
66,2021,MONTANA,MT,DAWSON,WHEAT,129300.0,168500.0,1138000.0,8.8
67,2021,MONTANA,MT,FALLON,WHEAT,2700.0,15400.0,35100.0,13.0
68,2021,MONTANA,MT,FERGUS,WHEAT,37000.0,48000.0,525000.0,14.2
69,2021,MONTANA,MT,FLATHEAD,WHEAT,9300.0,9300.0,432000.0,46.5
70,2021,MONTANA,MT,GALLATIN,WHEAT,24000.0,27000.0,1188000.0,49.5
71,2021,MONTANA,MT,GLACIER,WHEAT,30300.0,39700.0,630000.0,20.8
72,2021,MONTANA,MT,HILL,WHEAT,213500.0,253500.0,4099000.0,19.2
73,2021,MONTANA,MT,LAKE,WHEAT,6200.0,6300.0,398000.0,64.2
74,2021,MONTANA,MT,LEWIS AND CLARK,WHEAT,3700.0,3700.0,90000.0,24.3
75,2021,MONTANA,MT,LIBERTY,WHEAT,114500.0,115500.0,2279000.0,19.9
76,2021,MONTANA,MT,MADISON,WHEAT,5700.0,5900.0,412000.0,72.3
77,2021,MONTANA,MT,MCCONE,WHEAT,149000.0,193000.0,1445000.0,9.7
78,2021,MONTANA,MT,MEAGHER,WHEAT,2300.0,2300.0,111000.0,48.3
79,2021,MONTANA,MT,MUSSELSHELL,WHEAT,3700.0,7600.0,45900.0,12.4
80,2021,MONTANA,MT,OTHER COUNTIES,WHEAT,83800.0,170100.0,1281000.0,15.3
81,2021,MONTANA,MT,PARK,WHEAT,3800.0,4200.0,144000.0,37.9
82,2021,MONTANA,MT,PHILLIPS,WHEAT,56000.0,114000.0,314000.0,5.6
83,2021,MONTANA,MT,PONDERA,WHEAT,78600.0,78700.0,2447000.0,31.1
84,2021,MONTANA,MT,RICHLAND,WHEAT,122000.0,169000.0,1318000.0,10.8
85,2021,MONTANA,MT,ROOSEVELT,WHEAT,259000.0,315000.0,3781000.0,14.6
86,2021,MONTANA,MT,SHERIDAN,WHEAT,31500.0,32600.0,466000.0,14.8
87,2021,MONTANA,MT,TETON,WHEAT,38800.0,38800.0,1385000.0,35.7
88,2021,MONTANA,MT,TOOLE,WHEAT,140000.0,181000.0,2982000.0,21.3
89,2021,MONTANA,MT,VALLEY,WHEAT,169900.0,312000.0,1308000.0,7.7
90,2021,MONTANA,MT,YELLOWSTONE,WHEAT,14400.0,19400.0,171000.0,11.9
91,2021,NORTH DAKOTA,ND,ADAMS,WHEAT,114800.0,120000.0,2285000.0,19.9
92,2021,NORTH DAKOTA,ND,BARNES,WHEAT,71400.0,71500.0,3963000.0,55.5
93,2021,NORTH DAKOTA,ND,BENSON,WHEAT,133500.0,138500.0,5287000.0,39.6
94,2021,NORTH DAKOTA,ND,BILLINGS,WHEAT,24500.0,30600.0,345000.0,14.1
