year,reference_period_desc,prodn_practice_desc,state,state_abbr,state_fips,county,county_fips,agg_level,commodity,class,util_practice_desc,statistic_category,description,unit,value,coeff_variation_pct
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,SHERIDAN,091,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,14.8,0.00
2023,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,VALLEY,105,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,27.9,5.0
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,VALLEY,105,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,18.7,5.3
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,VALLEY,105,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,7.7,0.00
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,BROADWATER,007,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,32.0,30.7
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,BROADWATER,007,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,31.0,0.00
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,CASCADE,013,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,17.8,16.0
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,CASCADE,013,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,35.5,0.00
2023,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,FERGUS,027,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,39.1,14.6
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,FERGUS,027,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,20.5,10.9
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,FERGUS,027,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,14.2,0.00
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,JUDITH BASIN,045,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,28.1,19.2
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,LEWIS AND CLARK,049,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,23.0,36.7
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,LEWIS AND CLARK,049,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,24.3,0.00
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,MEAGHER,059,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,49.2,10.2
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,MEAGHER,059,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,48.3,0.00
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,MUSSELSHELL,065,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,12.4,0.00
2023,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,WHEATLAND,107,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,46.9,8.5
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,BEAVERHEAD,001,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,94.9,0.00
2023,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,GALLATIN,031,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,70.8,16.6
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,GALLATIN,031,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,79.7,9.3
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,GALLATIN,031,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,49.5,0.00
2023,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,MADISON,057,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,82.4,12.7
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,MADISON,057,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,72.3,0.00
2023,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,BIG HORN,003,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,60.0,6.3
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,BIG HORN,003,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,37.5,42.7
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,BIG HORN,003,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,28.5,0.00
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,PARK,067,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,38.9,35.0
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,PARK,067,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,37.9,0.00
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,STILLWATER,095,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,22.4,15.0
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,TREASURE,103,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,52.6,6.8
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,YELLOWSTONE,111,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,42.3,16.9
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,YELLOWSTONE,111,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,11.9,0.00
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,CUSTER,017,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,16.8,25.4
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,FALLON,025,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,31.7,8.9
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,FALLON,025,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,13.0,0.00
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,POWDER RIVER,075,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,20.7,13.5
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,ROSEBUD,087,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,15.3,53.1
2023,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,OTHER COUNTIES,,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,37.4,3.8
2022,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,OTHER COUNTIES,,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,28.3,4.5
2021,YEAR,ALL PRODUCTION PRACTICES,MONTANA,MT,30,OTHER COUNTIES,,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,15.3,8.90
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,BURKE,013,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,35.0,7.9
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,BURKE,013,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,42.3,4.2
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,BURKE,013,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,40.4,9.10
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,DIVIDE,023,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,32.3,9.3
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,DIVIDE,023,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,41.6,7.0
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,DIVIDE,023,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,32.2,4.50
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,MOUNTRAIL,061,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,46.3,4.1
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,RENVILLE,075,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,47.5,4.6
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,RENVILLE,075,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,51.3,4.8
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,RENVILLE,075,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,40.2,11.30
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,WARD,101,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,44.1,5.2
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,WARD,101,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,51.2,2.0
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,WARD,101,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,28.8,9.10
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,WILLIAMS,105,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,29.2,7.6
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,WILLIAMS,105,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,36.5,5.8
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,WILLIAMS,105,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,25.7,17.00
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,BENSON,005,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,47.4,4.3
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,BENSON,005,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,57.4,4.8
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,BENSON,005,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,39.6,3.90
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,BOTTINEAU,009,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,53.0,3.2
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,BOTTINEAU,009,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,56.6,3.9
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,BOTTINEAU,009,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,41.6,7.70
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,MCHENRY,049,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,50.1,4.8
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,MCHENRY,049,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,19.2,10.90
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,PIERCE,069,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,44.8,7.6
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,PIERCE,069,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,51.1,5.2
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,PIERCE,069,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,20.5,6.40
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,ROLETTE,079,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,47.5,6.5
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,ROLETTE,079,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,53.7,5.1
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,ROLETTE,079,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,36.1,7.40
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,CAVALIER,019,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,44.4,4.0
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,GRAND FORKS,035,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,51.6,5.7
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,GRAND FORKS,035,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,57.5,4.5
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,GRAND FORKS,035,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,46.4,5.50
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,NELSON,063,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,51.5,5.1
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,NELSON,063,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,39.5,8.40
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,PEMBINA,067,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,57.8,6.9
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,PEMBINA,067,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,61.1,5.7
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,PEMBINA,067,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,35.0,7.30
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,RAMSEY,071,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,45.9,6.1
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,RAMSEY,071,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,50.6,4.1
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,RAMSEY,071,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,40.8,4.50
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,TOWNER,095,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,48.9,3.4
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,TOWNER,095,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,54.0,7.7
2021,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,TOWNER,095,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,43.0,5.00
2023,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,WALSH,099,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,51.5,5.9
2022,YEAR,ALL PRODUCTION PRACTICES,NORTH DAKOTA,ND,38,WALSH,099,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,59.9,3.6
