,year,state,admin,crop_fire_co2e_100yr,crop_fire_n2o,crop_residues_co2e_100yr,crop_residues_n2o,manure_fertilizer_co2e_100yr,manure_fertilizer_n2o,rice_co2e_100yr,rice_n2o,soil_co2e_100yr,soil_n2o,synth_fertilizer_co2e_100yr,synth_fertilizer_n2o
0,2021,ALABAMA,BALDWIN,8564.807217461075,6.5160001725483605,4668.087060000001,17.09922,10456.16208,38.30096,575.8990585672859,0.0,59019.54718414474,29.1491807955674,45922.7769,168.21529999999998
1,2021,ALABAMA,BARBOUR,589.2835116008519,0.44832017069151847,1090.0070999999998,3.9927,4432.23144,16.235280000000003,525.7672326688,0.0,33297.90157583952,15.278790484393268,28706.698020000003,105.15274
2,2021,ALABAMA,BLOUNT,296.56988482522695,0.22562007477329749,4114.03356,15.06972,5180.994,18.978,552.4593827887243,0.0,24484.589499483216,11.234789441819283,29192.38686,106.93182
3,2021,ALABAMA,BUTLER,4.63738471874302e-05,1.491833936277458e-07,308.93226,1.13162,1461.25434,5.352580000000001,191.9229702935616,0.0,29102.1721634466,14.373280013302539,10626.1974,38.9238
4,2021,ALABAMA,CALHOUN,0.022774500887288825,2.0110988938081682e-05,698.5797,2.5589,1804.48632,6.60984,298.8043165553675,0.0,21651.331999800575,10.693382464591107,11389.65828,41.72036
5,2021,ALABAMA,CHEROKEE,3.507334454644426e-05,1.1282998678470642e-07,1162.9527,4.2599,2349.95124,8.60788,225.76794680606758,0.0,22010.477310909177,10.099539471847164,16576.7784,60.7208
6,2021,ALABAMA,CHILTON,4.16047443970857e-05,1.3384132084375663e-07,595.28196,2.18052,2796.1861200000003,10.24244,380.9816646457394,0.0,26109.29452039008,12.895126830522738,19408.394460000003,71.09302000000001
7,2021,ALABAMA,COFFEE,2197.262719897989,1.6716600591222668,2217.60084,8.123080000000002,8447.42808,30.942960000000003,400.921887481676,0.0,25026.157841723503,12.360176150974926,54736.15056000001,200.49872
8,2021,ALABAMA,COLBERT,332.1756281719735,0.2527200905172098,4675.0431,17.1247,2942.13192,10.777040000000001,405.74056248021964,0.0,22398.126230988284,11.062216877943317,23708.48844,86.84428000000001
9,2021,ALABAMA,COVINGTON,260.1496596473139,0.19792011888867267,1216.34058,4.45546,4344.15072,15.91264,350.77091425657625,0.0,38930.21228281255,19.22725351824412,36973.1271,135.4327
10,2021,ALABAMA,CRENSHAW,26.782533995021417,0.020380108424300998,597.13836,2.18732,2582.37798,9.459259999999999,196.4305536549361,0.0,22854.183777276583,11.287459268035933,19899.4341,72.8917
11,2021,ALABAMA,CULLMAN,187.66035976506924,0.14276012890632533,16205.050679999998,59.35916,13224.163679999998,48.44016,390.26017039199206,0.0,28024.73621209742,13.84114486757647,51145.11948,187.34476
12,2021,ALABAMA,DALE,3536.016856552951,2.690160049183261,1245.49152,4.56224,4929.1788,18.0556,367.92930905777206,0.0,20819.02697222484,10.282315099906505,33731.92368,123.56016000000001
13,2021,ALABAMA,DALLAS,1806.6413262728377,1.374480145090143,1411.01142,5.16854,3709.95534,13.58958,498.8449495560992,0.0,36957.76339627484,16.958123394573857,26418.21,96.77000000000001
14,2021,ALABAMA,DE KALB,62.19880592164888,0.0473201492418395,14528.80884,53.219080000000005,12564.87414,46.025180000000006,346.591842537612,0.0,29113.57359686031,14.37891107046514,64757.31444,237.20628
15,2021,ALABAMA,ELMORE,77.71761350369499,0.059120107367391886,817.89708,2.99596,2988.43818,10.94666,407.63082039188686,0.0,23253.23413236825,11.484546360398902,23627.62038,86.54806
16,2021,ALABAMA,ESCAMBIA,621.0388382040696,0.4724800428721952,1127.94318,4.13166,3394.44378,12.43386,344.1622400735532,0.0,35190.54040319039,17.380265919455994,24814.062,90.894
17,2021,ALABAMA,ETOWAH,238.92884500742744,0.1817600805730766,1558.6716599999997,5.70942,2685.44094,9.83678,484.16629715559753,0.0,19542.065850233943,8.966905289148484,17637.20868,64.60516000000001
