,year,state,state_abbr,county,commodity,AREA HARVESTED grain,AREA HARVESTED silage,AREA PLANTED,PRODUCTION grain,PRODUCTION silage,YIELD grain,YIELD silage
612,2021,MICHIGAN,MI,ISABELLA,CORN,36400.0,,44200.0,6093000.0,,167.4,
613,2021,MICHIGAN,MI,JACKSON,CORN,53000.0,,61100.0,8872000.0,,167.4,
614,2021,MICHIGAN,MI,KALAMAZOO,CORN,50900.0,,55100.0,7635000.0,,150.0,
615,2021,MICHIGAN,MI,KALKASKA,CORN,440.0,,500.0,52900.0,,120.2,
616,2021,MICHIGAN,MI,KENT,CORN,33100.0,,38600.0,5769000.0,,174.3,
617,2021,MICHIGAN,MI,LAKE,CORN,1590.0,,1900.0,251000.0,,157.9,
618,2021,MICHIGAN,MI,LAPEER,CORN,33900.0,,39300.0,5970000.0,,176.1,
619,2021,MICHIGAN,MI,LEELANAU,CORN,2050.0,,2400.0,232000.0,,113.2,
620,2021,MICHIGAN,MI,LENAWEE,CORN,88700.0,,107000.0,16327000.0,,184.1,
621,2021,MICHIGAN,MI,LIVINGSTON,CORN,17100.0,,20000.0,2833000.0,,165.7,
622,2021,MICHIGAN,MI,MACOMB,CORN,11400.0,,12900.0,1843000.0,,161.7,
623,2021,MICHIGAN,MI,MANISTEE,CORN,4440.0,,5200.0,624000.0,,140.5,
624,2021,MICHIGAN,MI,MASON,CORN,13200.0,,15200.0,2165000.0,,164.0,
625,2021,MICHIGAN,MI,MECOSTA,CORN,21300.0,,24200.0,3259000.0,,153.0,
626,2021,MICHIGAN,MI,MIDLAND,CORN,21400.0,,23400.0,3895000.0,,182.0,
627,2021,MICHIGAN,MI,MONROE,CORN,52400.0,,56000.0,10155000.0,,193.8,
628,2021,MICHIGAN,MI,MONTCALM,CORN,52600.0,,60300.0,9351000.0,,177.8,
629,2021,MICHIGAN,MI,MUSKEGON,CORN,10800.0,,14000.0,1706000.0,,158.0,
630,2021,MICHIGAN,MI,NEWAYGO,CORN,12000.0,,21400.0,2075000.0,,172.9,
631,2021,MICHIGAN,MI,OAKLAND,CORN,1800.0,,2000.0,298000.0,,165.6,
632,2021,MICHIGAN,MI,OCEANA,CORN,11700.0,,13000.0,1802000.0,,154.0,
633,2021,MICHIGAN,MI,OGEMAW,CORN,10000.0,,13500.0,1718000.0,,171.8,
